7757876.471000	-363571.212000	-0.665048	2.777778	0.000000	1607651512.607630	
7757876.873361	-363571.520159	-0.647907	2.777778	0.088551	1607651512.790082	
7757877.280958	-363571.825566	-0.638435	2.777778	0.048778	1607651512.973437	
7757877.685954	-363572.123435	-0.629921	2.777778	0.044425	1607651513.154424	
7757878.101812	-363572.423887	-0.621392	2.777778	0.043610	1607651513.339118	
7757878.514573	-363572.716778	-0.612830	2.777778	0.044379	1607651513.521321	
7757878.928314	-363573.004983	-0.603954	2.777778	0.046177	1607651513.702842	
7757879.344230	-363573.289107	-0.594575	2.777778	0.048838	1607651513.884174	
7757879.766841	-363573.571802	-0.584421	2.777778	0.052376	1607651514.067214	
7757880.191854	-363573.849647	-0.573405	2.777778	0.056890	1607651514.250013	
7757880.615465	-363574.119685	-0.561426	2.777778	0.062510	1607651514.430863	
7757881.045711	-363574.386345	-0.547998	2.777778	0.069525	1607651514.613088	
7757881.479881	-363574.646943	-0.532846	2.777778	0.078386	1607651514.795383	
7757881.915262	-363574.898798	-0.515624	2.777778	0.089640	1607651514.976455	
7757882.360515	-363575.145377	-0.495331	2.777778	0.104281	1607651515.159685	
7757882.812470	-363575.382740	-0.471113	2.777778	0.123889	1607651515.343463	
7757883.256515	-363575.601265	-0.442560	2.777778	0.150307	1607651515.521628	
7757883.721423	-363575.811594	-0.405628	2.777778	0.187750	1607651515.705326	
7757884.189977	-363576.000298	-0.357776	2.777778	0.243733	1607651515.887171	
7757884.664000	-363576.161000	-0.292349	2.777778	0.330542	1607651516.067359	
7757885.143166	-363576.275414	-0.178179	2.777778	0.546539	1607651516.244709	
7757885.624408	-363576.336856	-0.077614	2.777778	0.498325	1607651516.419362	
7757886.111362	-363576.352101	0.013595	2.777778	0.456770	1607651516.594751	
7757886.587489	-363576.325797	0.095838	2.777778	0.425129	1607651516.766418	
7757887.067000	-363576.260000	0.174762	2.777778	0.404443	1607651516.940660	
7757887.631076	-363576.115756	0.324854	2.777778	0.594916	1607651517.150262	
7757888.153463	-363575.898814	0.461585	2.777778	0.565426	1607651517.353893	
7757888.648000	-363575.609000	0.599452	2.777778	0.563163	1607651517.560246	
7757889.005649	-363575.320857	0.747801	2.777778	0.703265	1607651517.725587	
7757889.327566	-363574.989461	0.843017	2.777778	0.495895	1607651517.891911	
7757889.621396	-363574.642218	0.885902	2.777778	0.242608	1607651518.055666	
7757889.908000	-363574.291000	0.880497	2.777778	-0.031285	1607651518.218860	
7757890.193712	-363573.928807	0.921852	2.777778	0.231114	1607651518.384935	
7757890.460632	-363573.564940	0.952280	2.777778	0.175177	1607651518.547393	
7757890.718384	-363573.194131	0.972790	2.777778	0.118663	1607651518.709966	
7757890.970409	-363572.819239	0.983430	2.777778	0.061749	1607651518.872589	
7757891.215000	-363572.451000	0.984288	2.777778	0.005095	1607651519.031734	
7757891.549775	-363571.927028	1.017843	2.777778	0.140723	1607651519.255577	
7757891.866000	-363571.402000	1.038513	2.777778	0.088295	1607651519.476223	
7757892.112593	-363570.973476	1.054561	2.777778	0.085001	1607651519.654211	
7757892.350988	-363570.549728	1.061456	2.777778	0.037207	1607651519.829244	
7757892.581188	-363570.135377	1.065669	2.777778	0.023330	1607651519.999885	
7757892.817120	-363569.707000	1.068976	2.777778	0.017746	1607651520.175944	
7757893.045000	-363569.290000	1.072944	2.777778	0.021916	1607651520.347017	
